aaab 昌明
yfmwl 遮面
yfmwu 熟面孔
yfmye 上蒸下報
yfnau 遜色
yfnau 紫色
yfnbq 諒解
yfnei 迫不及待
yfnei 言不及義
yfnen 言不及行
yfnep 言不及意
yfnhe 談及
yfnhu 遮陽帽
yfnif 避涼附炎
yfnlh 遮陽
yfnli 遮陰
yfnqb 衣不解帶
yfnye 紫外線
yfo 熟人
yfobo 語無倫次
yfobo 言無倫次
yfoca 齋僧
yfocm 毫無價值
yfoey 放魚入海
yfogl 站不住腳
yfoie 齋飯
yfoig 烹飪
yfoiv 熟食
yfokr 熟知
yfoks 毫不做作
yfolj 六馬仰秣
yfomr 齋舍
yfoq 熟年
yfosr 避不作答
yfotc 齋供
yfoyg 遮住
yfoyt 遜位
yfp 談心
yfpck 謹小慎微
yfpgj 言為心聲
yfph 諒必
yfpkv 意馬心猿
yfppm 衣索比亞
yfprf 虛無恬淡
yfprf 虛無恬惔
yfq 熟手
yfqaw 遮攔
yfqec 道不掇遺
yfqei 話不投機
yfqei 語不投機
yfqfw 遮擋
yfqku 遮掩
yfqrc 道不拾遺
yfqrc 道無拾遺
yfqrn 話不投機半句多
yfqub 毫不掩飾
yfquu 遮遮掩掩
yfqyp 談攏
yfrg 談吐
yfrmr 遮路
yfrmr 熟路
yfrnf 離鸞別鵠
yfrnf 離鸞別鶴
yfrnn 離鸞別鳳
yfrrh 調絲品竹
yfscm 衣索匹亞
yfsma 熟習
yfspj 毫無忌憚
yfspq 毫無忌諱
yfsru 褎然居首
yftaj 紫草
yftbd 紫菜
yftcb 通無共有
yftcd 衣不兼采
yftcf 連鑣並駕
yftch 連鑣並軫
yftcs 齊鑣並驅
yftde 紫藥水
yfter 遼落
yftfk 遮蔽
yftfo 語不驚人
yftgc 遮羞費
yftgt 遮蓋
yfthk 紫薇
yftic 文不對題
yftjh 放馬華陽
yftkh 遮蔽物
yftkt 衣不蔽體
yftmj 京華
yftmn 紫荊
yftnd 紫蘇
yftni 遮蔭
yftnr 烹茗
yftod 烹茶
yftqg 遮羞
yfttb 立馬蓋橋
yftw 熟苗
yfumf 熟炭
yfuur 遷鶯出谷
yfvfh 虛無縹緲
yfvfm 紫紅
yfvfr 熟絡
yfvfw 熟練
yfvil 遮斷
yfviw 京畿
yfvmp 謾不經意
yfvmu 紫紅色
yfvoc 率馬以驥
yfvre 夜涼如水
yfvur 讚不絕口
yfvur 貞不絕俗
yfwcg 語驚四座
yfwfu 紫黑色
yfwgw 紫羅蘭
yfwp 熟思
yfwru 返照回光
yfybi 說不過去
yfybi 毫不通融
yfybn 談論到
yfybn 哀鴻遍野
yfycb 謀無遺策
yfyec 計不返顧
yfyec 計無返顧
yfyep 言不逮意
yfyep 詞不逮意
yfyfh 衣不遮身
yfyft 衣不遮體
yfyfu 毫不遜色
yfygo 語無詮次
yfygv 遼遠
yfygv 毫無進展
yfyhs 熟透
yfyjg 遵照辦理
yfyji 毫無章法
yfym 談上
yfymb 高談虛論
yfymi 話不虛傳
yfymo 說不上來
yfyog 亡不旋跬
yfyog 亡不旋踵
yfyog 計不旋跬
yfyog 計不旋踵
yfyoh 哀絲豪竹
yfyok 放鷹逐犬
yfyon 京劇
yfypp 熟慮
yfyqo 毫不遲疑
yfyqp 詞不達意
yfyqp 言不達意
yfyra 熟識
yfyra 熟諳
yfyra 詼諧
yfyra 談話會
yfyrb 讜論
yfyrb 談論
yfyrb 烹調
yfyrb 京調
yfyrb 立馬造橋
yfyrc 熟讀
yfyre 遮護
yfyri 遜謝
yfyrr 談話
yfyrr 熟語
yfyrr 京話
yfyrr 立馬追駒
yfyrt 立馬追鐙
yfyru 熟記
yfysp 毫無誠意
yfyti 京戲
yfyug 龍騰虎躍
yfyui 旁系親屬
yfyul 龍騰虎擲
yfyul 龍騰虎躑
yfyur 龍騰虎踞
yfyuu 龍騰虎蹴
yfyux 龍騰虎嘯
yga 望日
yga 主日
ygab 註明
ygacw 主題曲
ygahd 主日學
ygahm 童星
ygait 運旺時盛
ygan 進門
ygana 離間
ygant 離開
ygaoc 離題
ygaoc 主題
ygauo 迫在眉睫
ygauo 近在眉睫
ygaxu 柴瞿閻充
ygb 望月
ygbbt 主體
ygbbu 雜亂
ygbcl 註腳
ygbdr 斗怪爭奇
ygbfv 高雄縣長
ygbhv 主脈
ygbjj 進軍
ygbkf 雜然
ygbof 主祭
ygbpu 虛堂懸鏡
ygbq 進用
ygbrd 雌雄同株
ygbrt 雌雄同體
ygbt 註冊
ygbtc 註冊費
ygbtm 註冊組
ygbug 雍睦
ygbuu 進見
ygbuu 望見
ygbuu 主見
ygbvn 近在眼前
ygbvu 望眼鏡
ygbvw 主腦
ygbwi 進爵
ygcat 誠至金開
ygcfb 註銷
ygche 連理分枝
ygcta 雜錯
ygcve 雜錄
ygdfj 課程標準
ygdhl 離析
ygdhr 主格
ygdie 主機板
ygdoo 進來
ygdtg 主權
ygdvi 主機
ygdyk 離校
yge 進水
ygea 雜沓
ygedb 高壘深溝
ygefb 龍躍鴻矯
ygeir 主治
ygejc 主演
ygemw 進酒
ygetq 望洋
ygetu 進港
ygeui 謬種流傳
ygeyu 主流
ygfdd 雜糅
ygfdg 雜糧
ygfdj 進料
ygfoa 雜燴
ygfqe 離叛
ygfso 送往勞來
ygg 進士
yggah 進場
yggck 追懽賣笑
yggfo 進款
yggi 離去
yggi 進去
yggis 進城
yggpd 離地
ygguh 避難趨易
yggy 卜卦
yggyu 離境
yghar 進香客
yghau 離島
yghaw 進香團
yghbd 進學
yghbj 斗量筲計
yghbs 迷離徜仿
yghbu 迷離徜恍
yghda 進香
yghdb 主稿
yghdg 進程
yghdg 雜種
yghdg 童稚
yghdh 雍穆
yghdj 詮釋
yghdj 註釋
yghdk 護士學校
yghdr 主和
yghdu 雜稅
yghdv 主委
yghfp 離愁
yghgc 主顧
yghgs 主動
yghiu 齊量等觀
yghjg 毫釐千里
yghjk 望塵拜伏
yghjr 主管
yghlc 雜質
yghld 敵王所愾
yghlq 主筆
yghma 虛室生白
yghmn 談吐生風
yghnf 龍躍鳳鳴
yghng 龍雛鳳種
yghni 雌風
yghni 望風
yghnm 談吐風生
yghnm 龍雕鳳咀
yghnw 進行曲
yghoe 雜役
yghon 進行
yghon 逛街
yghoo 主從
yghop 進德
yghqh 雜物
yghqm 談吐舉止
yghqn 意在筆前
yghqu 意在筆先
yghrb 塾師
yghrb 主帥
yghsm 主動性
yghuu 放任自流
yghvc 主任委員
yghxh 離身
yghxh 進身
ygibp 逞能
ygibw 主席團
ygiev 進度表
ygifk 進廠
ygihv 雌威
ygihv 逞威
ygiob 逾淮之橘
ygiod 立錐之地
ygiog 離座
ygiol 詩庭之訓
ygiol 過庭之訓
ygirp 雜感
ygisg 連衽成帷
ygisq 遇難成祥
ygitb 離席
ygitb 主席
ygite 進度
ygiur 送往視居
ygivn 逞威風
ygiye 望塵靡及
ygjaf 近墨者黑
ygjcb 虛往實歸
ygjcr 雍容
ygjdk 主教
ygje 雜支
ygjeq 進擊
ygjhr 主客
ygjhw 主審
ygjjj 邏輯
ygjjj 主幹
ygjjj 斗量車載
ygjjw 主軸
ygjks 主考
ygjln 雜事
ygjln 主事
ygjmm 離離矗矗
ygjmo 雜家
ygjmo 離家
ygjmo 誰家
ygjmo 註定
ygjna 主事者
ygjnr 送往事居
ygjpf 識塗老馬
ygjpu 雌老虎
ygjrr 離宮
ygjso 彰往考來
ygjsr 主考官
ygjtg 壅塞
ygjv 望安
ygjyj 主宰
ygkhu 進犯
ygkhu 主犯
ygkie 高堂大廈
ygkig 雌雄
ygkmr 離奇
ygknr 齊煙九點
ygks 主力
ygkst 主力艦
ygktc 望塵奔潰
ygktp 望塵奔北
yglbg 牽蘿補屋
yglbv 進帳
yglk 雜史
ygllj 雜牌
yglnc 雜費
ygm 童工
ygmbc 進貢
ygmbj 望塵而拜
ygmbl 進而
ygmbv 雜耍
ygmbv 望屋而食
ygmfd 六塵不染
ygmfe 望塵不及
ygmff 邊塵不驚
ygmfn 離不了
ygmft 離不開
ygmgn 望到
ygmgu 童玩
ygmkb 高壓政策
ygmkr 帝王政治
ygmmc 雜項
ygmmc 進項
ygmmk 主政
ygmok 進攻
ygmok 主攻
ygmrg 敦煌石室
ygmrj 雜碎
ygmru 敦煌石窟
ygmtg 甕裡醯雞
ygmtq 調墨弄筆
ygmvn 遠在天邊，近在眼前
ygmwv 主要
ygmyf 上吐下瀉
ygmyh 進一步
ygmym 雍正
ygnau 雜色
ygnbg 主角
ygnbk 望彌撒
ygnbq 註解
ygnd 離子
ygnd 童子
ygnd 主子
ygndj 童子軍
ygnhs 雜務
ygnih 調理陰陽
ygnii 逞強
ygniy 望外
ygnkl 辛壬癸甲
ygnla 進階
ygnoe 進發
ygnqn 高屋建瓴
ygnsv 主張
ygo 誰人
ygo 進入
ygo 主人
ygocb 雜貨鋪
ygoci 主人公
ygocm 主人翁
ygocr 雜貨店
ygofj 望塵僄聲
ygogl 裹糧坐甲
ygohg 離任
ygohg 主任
ygohg 進修班
ygoif 道在人為
ygoik 雌伏
ygoip 雜念
ygoiv 進食
ygoiv 主食
ygojk 主使
ygoka 主使者
ygokr 誰知
ygolh 進修
ygolh 主修
ygomc 進兵
ygomr 離合
ygonl 旁推側引
ygop 進化
ygopb 進化論
ygopc 雜貨
ygopc 進貨
ygoq 童年
ygore 迷塗知反
ygorr 離合器
ygosn 認雞作鳳
ygoto 童僕
ygoto 主僕
ygoyr 進佔
ygoyt 進位
ygoyt 主位
ygp 離心
ygp 童心
ygpa 主旨
ygpav 離恨
ygpbd 語重情深
ygpbu 迷離惝恍
ygpen 語重心沉
ygphm 雌性
ygpks 離心力
ygpqb 離情
ygpsv 語重心長
ygpt 離世
ygqer 逞怪披奇
ygqgi 主持
ygqhe 高壓手段
ygqhw 主播
ygqio 主持人
ygqje 雜技
ygqne 敲鑼打鼓
ygqob 迷離撲朔
ygqqu 雜拌兒
ygqrq 齊王捨牛
ygr 進口
ygraa 主唱
ygrgq 遇難呈祥
ygrhu 進口稅
ygrji 主戰
ygroc 進口貨
ygrsn 離別
ygryb 進口商
ygsao 卓藺屠蒙
ygsap 虛堂習聽
ygsco 近在咫尺
ygsdm 道在屎溺
ygsdu 高雄醫學院
ygsec 進賢
ygsep 進取心
ygsfb 誑騙
ygsfg 進駐
ygsfi 離騷
ygsja 離職
ygsje 進取
ygsjr 雜居
ygsri 計程司機
ygsrq 離群
ygstv 進展
ygtaj 雜草
ygtbd 主菜
ygtbk 離散
ygtct 進益
ygteh 逛蕩
ygtff 處堂燕鵲
ygtfg 處堂燕雀
ygtgi 主義
ygtgu 主觀
ygtkb 牽蘿莫補
ygtke 望塵莫及
ygtkj 雌雄莫辨
ygtmc 雌黃
ygtop 雌花
ygtpp 雌蕊
ygtrq 進種善群
ygtvp 童養媳
ygtwi 謝庭蘭玉
ygu 童山
yguhj 主峰
yguk 逞凶
yguku 逞兇
ygumj 離岸
yguu 進出
yguui 望出去
yguur 進出口
yguuu 進進出出
ygv 童女
ygvao 主婚人
ygvdn 進剿
ygvfb 主編
ygvfe 離線
ygvfe 進級
ygvfp 毫釐絲忽
ygvgv 童裝
ygvha 離婚
ygvha 主婚
ygvhl 離鄉
ygvil 壟斷
ygvlk 逸塵斷鞅
ygvmi 主將
ygvov 望屋以食
ygvsb 主婦
ygwcd 雌雄異株
ygwcr 詭雅異俗
ygwk 主因
ygwks 童男
ygwlg 暹羅
ygwoe 親離眾叛
ygwtc 離異
ygyav 進退
ygybb 肯堂肯構
ygybc 童貞
ygybk 進獻
ygybv 遠至邇安
ygyck 雜交
ygyed 避難設施
ygyev 進餐
ygyhc 童顏
ygyhf 進步黨
ygyhn 進步到
ygyid 離棄
ygyja 主辦者
ygyjg 主辦權
ygyjg 主計室
ygyjj 主辯
ygyjj 主辦
ygyjn 主計處
ygyjv 主計長
ygyk 雜文
ygyk 主文
ygyku 敲鑼放砲
ygylh 進步
ygylo 送往迎來
ygymr 進言
ygymw 進逼
ygyom 避重逐輕
ygyon 雜劇
ygyou 言進退從己
ygypg 雜誌社
ygypn 雜處
ygypp 歲在龍蛇
ygypv 虎躍龍驤
ygyqg 通權達理
ygyqk 通權達變
ygyra 離譜
ygyrb 遑論
ygyrb 主講
ygyrc 望塵追跡
ygyrd 主謀
ygyrf 進京
ygyrj 雜訊
ygyrj 主計
ygyrm 誑誕
ygyrp 雜誌
ygyrr 誑語
ygyrr 童話
ygyrr 主語
ygyrr 主詞
ygyru 雜記
ygyru 童謠
ygyrv 進謁
ygyrw 進諫
ygyry 意在言外
ygysk 望族
ygysp 誠惶誠恐
ygyta 雜音
ygyta 主音
ygytp 主意
ygyuh 避難就易
ygyui 主導
ygyum 避重就輕
ygyun 連裡竟街
ygyuo 齷齪
ygyuo 龍跧虎臥
ygyur 龍躍虎踞
ygyvu 望遠鏡
ygyvv 旅進旅退
ygyyt 誨淫誨盜
yhab 彰明
yhabt 訕牙閒嗑
yhafc 彰顯
yharu 高步闊視
yhb 歲月
yhbce 遺芬賸馥
yhbhv 診脈
yhbto 親身體驗
yhbuu 謬見
yhdj 歲末
yhdjd 詮才末學
yhdor 步槍
yheir 診治
yhetd 迴腸盪氣
yhetf 龍陽泣魚
yhewo 高陽酒徒
yhffp 牽腸縈心
yhfhb 齏身粉骨
yhfmb 彪炳
yhg 彥士
yhgeo 詩腸鼓吹
yhgiu 遺形去貌
yhhbo 道寡稱孤
yhhbu 道弟稱兄
yhhfe 望穿秋水
yhhjd 逢場竿木
yhhjj 步步生蓮華
yhhlb 謹身節用
yhhne 文物制度
yhhnq 言揚行舉
yhhon 步行
yhhsl 診所
yhieg 棄易求難
yhifb 齒牙為猾
yhifb 齒牙為禍
yhifc 認影為頭
yhifr 步步為營
yhifu 診視
yhiob 齒牙之猾
yhipv 託物感懷
yhjbc 託物寓興
yhjbf 診察
yhjbp 託物寓感
yhjkb 通才教育
yhjng 牽腸割肚
yhjok 逾沙軼漠
yhjrl 謀財害命
yhjwb 諦分審布
yhkbe 連湯帶水
yhkbh 言必有物
yhkbl 言必有中
yhkbo 言必有據
yhkeo 彪形大漢
yhkfg 診療室
yhkkf 診療
yhkko 高才疾足
yhkko 高材疾足
yhkmb 診病
yhkni 迴腸九轉
yhkqf 高牙大纛
yhkrn 詭形奇制
yhltv 衣衫襤褸
yhlvk 歲數
yhmai 迴腸百轉
yhmbv 迫切需要
yhmcd 通才碩學
yhmff 放蕩不羈
yhmff 遊蕩不羈
yhmfm 衣衫不整
yhmfv 逐物不還
yhmho 放蕩形骸
yhmin 高步雲衢
yhmky 語妙天下
yhmmo 歲次
yhmms 文修武偃
yhmvb 齜牙裂嘴
yhmyw 就湯下面
yhnbe 逐影隨波
yhnd 步子
yhnlc 託物引類
yhnlc 牽物引類
yhnlo 步隊
yhnwn 託物陳喻
yho 歲入
yhodb 齒牙餘論
yhodd 遺芬餘榮
yhodo 產物保險
yhodp 齒牙餘惠
yhodp 齒牙餘慧
yhodu 齒少氣銳
yhofo 辯才無礙
yhofo 辯才無閡
yhohd 迴腸傷氣
yhohd 言必信，行必果
yhoi 步伐
yhokc 避影斂跡
yhomc 步兵
yhop 彰化
yhopb 彰化市
yhopf 彰化縣
yhopo 彰化人
yhosd 逢場作樂
yhose 逢場作趣
yhosi 逢場作戲
yhpcu 齒少心銳
yhqbb 望影揣情
yhqij 遇物持平
yhqoo 高才捷足
yhqoo 高材捷足
yhqqu 斗牙拌齒
yhqyg 牽腸掛肚
yhrfb 步哨
yhrkj 逐影吠聲
yhrnb 齜牙咧嘴
yhsfo 步驟
yhshe 步履
yhsij 逐影尋聲
yhsrb 市場區隔
yhsrh 避影匿形
yhsrs 辨物居方
yhtaa 歲暮
yhtcr 方驂並路
yhthd 迴腸蕩氣
yhthk 文身剪髮
yhthu 歲首
yhtic 識才尊賢
yhtin 造形藝術
yhtme 文身翦發
yhtsp 遺形藏志
yhttv 衣衫藍縷
yhtun 立少觀多
yhuu 歲出
yhvil 診斷
yhvla 診斷書
yhvlk 文身斷髮
yhvmm 親身經歷
yhvub 語妙絕倫
yhvud 高才絕學
yhvvl 毫分縷析
yhvwa 通才練識
yhvxa 膏場繡澮
yhwgd 這步田地
yhwmo 主少國疑
yhwtc 訝異
yhyap 遺物識心
yhybb 適材適用
yhybg 步步高陞
yhybh 證券市場
yhybl 適材適所
yhybm 市場調查
yhybn 高步通衢
yhybt 步步高升
yhycu 亦步亦趨
yhydi 逢場遊戲
yhyhl 證券交易所
yhyja 高才卓識
yhyjc 託物連類
yhynd 設身處地
yhyph 遺物忘形
yhypm 遺形忘性
yhypn 虎步龍行
yhypn 逐物意移
yhyqa 通材達識
yhyrb 謬論
yhyrb 步調
yhyrj 歲計
yhyrk 謬誤
yhyrr 諺語
yhytu 步道
yhyva 高才遠識
yhyvc 遁身遠跡
yhyvf 豪竹哀絲
yhyvt 遁形遠世
yian 玄門
yianj 逸聞
yiant 玄關
yiaoc 議題
yiarf 遵照
yibbt 導體
yibbt 詩體
yibcj 討賊
yibcm 詩賦
yiblb 龍去鼎湖
yibuu 違法亂紀
yicii 討錢
yidbn 譏刺
yidcu 旁逸橫出
yiddh 逸材
yidit 立法機關
yidlk 剖玄析微
yidmh 高等植物
yidoo 衣冠楚楚
yidvi 玄機
yidwk 謝東閔
yidyg 導柱
yie 戲水
yiecd 運籌演謀
yiedk 議決
yiedv 意義深長
yieee 討沒趣
yiegi 戲法
yiegi 迷魂淫魄
yiehv 詩派
yieiu 高等法院
yiejc 導演
yiekb 運籌決策
yiekd 議決案
yieks 運籌決勝
yiekt 運籌決算
yiell 過府沖州
yiemf 導源
yiexo 衣冠濟楚
yiexx 衣冠濟濟
yieyo 討海人
yifbc 討賞
yifjf 導火索
yifri 棄公營私
yifve 導火線
yigah 議場
yigei 託公報私
yighd 衣冠土梟
yigif 導熱
yigiv 逝將去汝
yigoe 逸趣
yigrg 戲臺
yigvr 亡魂喪膽
yigym 詩壇
yihaf 玄鳥
yihbd 詩學
yihbd 玄學
yihbk 玄奧
yihbp 逞強稱能
yihbr 導向
yihbs 計伐稱勳
yihbv 謝師宴
yihdg 議程
yihdr 議和
yihdu 戲箱
yihec 文藝復興
yihge 高爵重祿
yihhb 詩篇
yihhk 譏笑
yihhk 言傳身教
yihih 亡戟得矛
yihii 詩箋
yihjg 運籌千里
yihjr 導管
yihkc 遣將徵兵
yihmr 討生活
yihnf 敵對行為
yihnf 違法行為
yihni 託公行私
yihnm 談議風生
yihnm 論議風生
yihnm 遭時制宜
yihns 運籌制勝
yihoi 亡魂失魄
yihon 遵行
yihon 詩行
yihoo 遵從
yihop 玄德
yihoq 詩律
yihou 遵循
yihqg 遊戲筆墨
yihrb 導師
yihrk 謝啟
yihsh 高等動物
yihvc 立法委員
yihxc 詩興
yihxc 逸興
yihyn 導航
yiien 刻舟求劍
yiieq 迎刃冰解
yiifg 詩社
yiifl 謝神
yiifm 止戈為武
yiift 謝禮
yiift 詩禮
yiigv 遊戲塵寰
yiihc 斗轉參橫
yiikf 譏為
yiioa 方寸之間
yiiod 方寸之地
yiiok 道義之交
yiipk 逐機應變
yiipo 誑時惑眾
yiips 適時應務
yiir 戲台
yijbf 討索
yijcn 討究
yijdi 遵守
yijdk 討教
yijdk 玄教
yijdk 方滋未艾
yijhr 謝客
yijkb 高等教育
yijkd 謝孝
yijln 議事
yijln 逸事
yijln 訟事
yijmg 遊戲翰墨
yijmo 議定
yijne 議事錄
yijnp 議事廳
yijoa 議定書
yijon 遭時定制
yijpv 討老婆
yijqb 避強擊惰
yijqm 避強擊弱
yijqr 讒害
yijsm 高等考試
yijvd 議案
yijvd 訟案
yikbd 遊刃有餘
yikbi 衣寬帶松
yike 詩友
yikii 迷魂奪魄
yikii 追魂奪魄
yikil 追魂奪命
yilbr 謝帖
yilbv 討帳
yilcb 訴訟費用
yileu 龍蟄蠖屈
yilga 詩書
yilga 逸書
yilgg 運籌帷幄
yilgv 運籌帷帳
yilkf 諱樹數馬
yilmb 運籌畫策
yilnc 訟費
yilpl 龍鬼蛇神
yilqg 運籌幃幄
yimak 討厭
yimbq 迎刃而解
yimbr 膚寸而合
yimbu 導電
yimbu 謙尊而光
yimbv 戲耍
yimde 高爵厚祿
yimfb 遭時不偶
yimfk 逾時不候
yimfk 過時不候
yimfk 謹謝不敏
yimgd 戲班子
yimgg 戲班
yimgg 玄理
yimgk 導致
yimgt 戲弄
yimhg 遺傳工程
yimki 討厭鬼
yimki 請將不如激將
yimmb 玄武湖
yimmc 計時工資
yimmd 遊戲三昧
yimmi 主持正義
yimmn 立時三刻
yimmr 玄武岩
yimms 討巧
yimrf 戲碼
yimro 詩歌
yimsa 貞松勁柏
yimse 豪奪巧取
yimum 導電性
yinab 齊紈魯縞
yind 戲子
yinda 詩雲子曰
yindf 玄孫
yined 識時務者為俊傑
yinem 違強陵弱
yinfo 龍戰魚駭
yinia 牽強附會
yinir 牽強附合
yinl 導引
yinlu 議院
yinlu 戲院
yinqb 運籌建策
yinrj 高冠陪輦
yio 導入
yio 詩人
yioaa 遊戲人間
yioaa 運籌借箸
yiobk 衣冠禽獸
yiobm 新幾內亞
yioch 戲份
yioci 討債鬼
yioet 衣冠優孟
yiofg 方寸無主
yiofo 於法無據
yiofp 遁逸無悶
yioga 新約全書
yioga 六法全書
yiogd 詩集
yiohl 詩人節
yioi 討伐
yioid 詩餘
yioie 討飯
yioio 龍的傳人
yioiu 討饒
yiokm 討便宜
yiokr 孰知
yioma 議會
yiomc 議價
yiomc 討價
yiomk 討人厭
yioml 遵命
yiooa 餐松飲澗
yioos 詩作
yiopt 遊戲人世
yioqc 討債
yiork 通時合變
yiorr 棄義倍信
yiou 詩仙
yiou 逸仙
yipao 連戰皆捷
yipav 言約旨遠
yiplu 謝忱
yipqb 討情
yipr 詩句
yipt 謝世
yiqab 詞約指明
yiqbd 衣冠掃地
yiqcg 道義責任
yiqhw 導播
yiqji 追魂攝魄
yiqkh 上樹拔梯
yiqkq 遵奉
yiqnm 避強打弱
yiqpj 文藝批評
yiqun 遊戲規則
yiqvp 連疇接隴
yirbc 議員
yirfa 餐松啖柏
yirjb 譏嘲
yirmr 戲路
yirrj 戲單
yirrr 逸品
yirvp 逸民
yise 導尿
yiser 導尿管
yisje 討取
yismv 議長
yisor 餐雲臥石
yisou 竦魂駭目
yisrf 遁陰匿景
yisrg 詩聖
yisuu 方寸已亂
yitab 謝幕
yitce 適得其反
yitcl 適得其所
yitii 高義薄雲
yitik 高義薄雲天
yitka 哀的美敦書
yitkf 止戈散馬
yitkr 孰若
yitmc 玄黃
yitvy 遵時養晦
yitw 戲曲
yiune 謝函
yiuu 導出
yiuur 運籌出奇
yivds 逞強好勝
yivfe 導線
yivfh 玄妙
yivfm 詩經
yivfu 謝絕
yivgk 玄奘
yivgv 戲裝
yivid 逸樂
yivnd 討好
yivoq 迎刃以解
yivpb 討媳婦
yivur 違時絕俗
yiwkp 謝恩
yiwly 謝罪
yiwms 謝國城
yiwpb 文藝思潮
yiwvd 戲園子
yiyac 詩韻
yiyba 討論會
yiyba 逢機遘會
yiybc 遣將調兵
yiybi 說得過去
yiybk 議論文
yiybk 識時通變
yiybm 適時調整
yiybn 討論到
yiybr 遠矚高瞻
yiydu 討親
yiyeb 運籌設策
yiyfd 戲迷
yiygg 訓導主任
yiyic 龍戰玄黃
yiyik 說時遲，那時快
yiyjj 遵辦
yiyk 戲文
yiyk 詩文
yiykh 衣冠文物
yiykn 違約交割
yiylk 速戰速決
yiylo 送去迎來
yiymn 牽鬼上劍
yiymr 讒言
yiymr 戲言
yiymr 導言
yiynl 戲劇界
yiynm 戲劇性
yiynp 戲劇化
yiyon 戲劇
yiyoo 旋得旋失
yiyou 追雲逐電
yiypd 此時此地
yiypm 玄虛
yiypn 議處
yiypn 此時此刻
yiyqk 通時達變
yiyqk 識時達變
yiyqs 通時達務
yiyqs 識時達務
yiyrb 議論
yiyrb 議請
yiyrb 導論
yiyrb 討論
yiyrc 導讀
yiyrc 詩選
yiyrd 詩謎
yiyrd 交淺言深
yiyrf 戲談
yiyrf 玄談
yiyri 謝謝
yiyri 逸詩
yiyrj 譏評
yiyrj 戲評
yiyrm 戲謔
yiyrm 詩讖
yiyrn 譏諷
yiyrr 詩話
yiyrr 詩詞
yiytl 逢機立斷
yiytp 謝意
yiytp 詩意
yiytq 迎刃立解
yiyud 龍戰虎爭
yiyue 龍舟競渡
yiyuh 談玄說妙
yiyui 導盲磚
yiyur 龍蹲虎踞
yiyus 讓逸競勞
yiyvi 進俯退俯
yiyvi 遺魂亡魄
yiyvo 進寸退尺
yiyvr 旁蒐遠紹
yiyxo 衣冠齊楚
yiyyd 導遊
yja 連日
yjab 辨明
yjaee 豪干暴取
yjagi 計時
yjaia 遭逢時會
yjail 迅即
yjair 計時器
yjaja 避暑
yjamg 評量
yjamg 計量
yjamo 許是
yjan 逢門
yjanr 訊問
yjant 避開
yjant 計開
yjanu 評閱
yjarh 望聞問切
yjbaa 膏澤脂香
yjbbu 避亂
yjbck 連敗
yjbfs 連勝
yjbir 龍肝豹胎
yjbkf 譁然
yjbkf 率然
yjbkf 卓然
yjbmr 連同
yjbmr 率同
yjbnr 斗膽
yjbq 運用
yjbqm 運用上
yjbqr 遣辭用句
yjbtk 瓣膜
yjbtv 連體嬰
yjbuh 立竿見影
yjbuh 立杆見影
yjbuu 卓見
yjbv 辦妥
yjcbd 運計鋪謀
yjccm 連鎖性
yjccr 連鎖店
yjcfb 運銷
yjcfc 連鎖
yjci 辦公
yjcic 辦公費
yjcid 辦公桌
yjcig 辦公室
yjcin 辦公處
yjcip 辦公廳
yjcsh 評分
yjcsh 計分
yjcsi 文章鉅公
yjcst 評鑑
yjdh 辯才
yjdhl 辨析
yjdhl 評析
yjdm 譯本
yjdpi 斗杓
yjdpn 連想到
yjdtc 連橫
yjdyo 評核
yjebk 卓溪
yjedr 高岸深谷
yjegi 辦法
yjegi 章法
yjegn 放辟淫侈
yjego 放僻淫佚
yjem 連江
yjemf 連江縣
yjemr 運河
yjemr 剖肝瀝膽
yjerc 詰戎治兵
yjett 剖肝泣血
yjevd 遊蜂浪蝶
yjewb 辦酒席
yjexp 文奸濟惡
yjeyu 迅流
yjfdg 運糧
yjffs 辛勞
yjfnc 評判員
yjfno 評判人
yjfqn 評判
yjg 辨士
yjgcb 迎奸賣俏
yjgcb 贏奸賣俏
yjgei 新聞報導
yjgej 連聲
yjgen 逸聞趣事
yjgis 連城
yjgje 辦報
yjgod 棄車走林
yjgov 卓越
yjgrn 辦喜事
yjguo 連起來
yjgvb 逾千越萬
yjha 辯白
yjha 辨白
yjhal 章節
yjhbd 辦學
yjhbt 運算
yjhbt 計算
yjhda 瓣香
yjhdb 辯稱
yjhdb 計策
yjhdg 章程
yjhdg 計程
yjhdh 效顰學步
yjhdu 避稅
yjhdv 計委
yjhec 遺華反質
yjhem 棄末反本
yjhen 辦後事
yjhgi 評等
yjhgj 計程車
yjhgs 運動
yjhgu 率先
yjhhb 連篇
yjhhi 連射
yjhid 辦得好
yjhid 剖蚌得珠
yjhjf 膏車秣馬
yjhlq 譯筆
yjhlq 運筆
yjhnb 龍肝鳳髓
yjhnc 避風頭
yjhnh 龍章鳳彩
yjhni 避風
yjhni 迅風
yjhnm 通訊衛星
yjhnm 論辯風生
yjhnn 逆耳利行
yjhnu 避風港
yjhnu 龍章鳳函
yjhnv 龍章鳳姿
yjhon 運行
yjhpp 望峰息心
yjhrb 率師
yjhsa 運動會
yjhsb 龍章秀骨
yjhsc 運動員
yjhse 運動服
yjhsg 運動鞋
yjhsg 運動量
yjhsh 運動場
yjhsj 運動褲
yjhsk 運動史
yjhso 運動家
yjhsv 運動衣
yjhtc 斗箕
yjhti 計算機
yjhto 計算尺
